service_id,date,exception_type
20696,20221031,1
20696,20221101,1
20696,20221102,1
20696,20221103,1
20696,20221104,1
20696,20221105,1
20696,20221106,1
20696,20221107,1
20696,20221108,1
20696,20221109,1
20696,20221110,1
20696,20221111,1
20696,20221112,1
20696,20221113,1
20696,20221114,1
20696,20221115,1
20696,20221116,1
20696,20221117,1
20696,20221118,1
20696,20221119,1
20696,20221120,1
20696,20221121,1
20696,20221122,1
20696,20221123,1
20696,20221124,1
20696,20221125,1
20696,20221126,1
20696,20221127,1
20696,20221128,1
20696,20221129,1
20696,20221130,1
20696,20221201,1
20697,20221031,1
20697,20221101,1
20697,20221102,1
20697,20221103,1
20697,20221104,1
20697,20221105,1
20697,20221106,1
20697,20221107,1
20697,20221108,1
20697,20221109,1
20697,20221110,1
20697,20221111,1
20697,20221112,1
20697,20221113,1
20697,20221114,1
20697,20221115,1
20697,20221116,1
20697,20221117,1
20697,20221118,1
20697,20221120,1
20697,20221121,1
20697,20221122,1
20697,20221123,1
20697,20221124,1
20697,20221125,1
20697,20221126,1
20697,20221127,1
20697,20221128,1
20697,20221129,1
20697,20221130,1
20697,20221201,1
20698,20221031,1
20698,20221101,1
20698,20221102,1
20698,20221103,1
20698,20221104,1
20698,20221107,1
20698,20221108,1
20698,20221109,1
20698,20221110,1
20698,20221111,1
20698,20221114,1
20698,20221115,1
20698,20221116,1
20698,20221117,1
20698,20221118,1
20698,20221119,1
20698,20221120,1
20698,20221121,1
20698,20221122,1
20698,20221123,1
20698,20221124,1
20698,20221125,1
20698,20221126,1
20698,20221127,1
20698,20221128,1
20698,20221129,1
20698,20221130,1
20698,20221201,1
20699,20221031,1
20699,20221101,1
20699,20221102,1
20699,20221103,1
20699,20221105,1
20699,20221106,1
20699,20221107,1
20699,20221108,1
20699,20221109,1
20699,20221110,1
20699,20221112,1
20699,20221113,1
20699,20221114,1
20699,20221115,1
20699,20221116,1
20699,20221117,1
20699,20221119,1
20699,20221120,1
20699,20221121,1
20699,20221122,1
20699,20221123,1
20699,20221124,1
20699,20221126,1
20699,20221127,1
20699,20221128,1
20699,20221129,1
20699,20221130,1
20699,20221201,1
20700,20221031,1
20700,20221101,1
20700,20221102,1
20700,20221103,1
20700,20221105,1
20700,20221106,1
20700,20221107,1
20700,20221108,1
20700,20221109,1
20700,20221110,1
20700,20221112,1
20700,20221113,1
20700,20221114,1
20700,20221115,1
20700,20221116,1
20700,20221117,1
20700,20221120,1
20700,20221121,1
20700,20221122,1
20700,20221123,1
20700,20221124,1
20700,20221126,1
20700,20221127,1
20700,20221128,1
20700,20221129,1
20700,20221130,1
20700,20221201,1
20701,20221031,1
20701,20221101,1
20701,20221102,1
