pathway_id,pathway_mode,is_bidirectional,from_stop_id,to_stop_id,traversal_time
LM4KF1-LM4KFA,1,1,LM4KF1,LM4KFA,90
LM4KF1-LM4KFB,2,1,LM4KF1,LM4KFB,180
LM4KF1-LM4KFC,2,1,LM4KF1,LM4KFC,210
LM4KF3-LM4KFC,2,1,LM4KF3,LM4KFC,90
LM4KF1-LM4KFD,2,1,LM4KF1,LM4KFD,180
LM4KF3-LM4KFD,2,1,LM4KF3,LM4KFD,120
LM4KF3-LM4KFA,2,1,LM4KF3,LM4KFA,90
LM4KF3-LM4KFB,2,1,LM4KF3,LM4KFB,90
LM1OPV-F01079,2,1,LM1OPV,F01079,30
LM1DF1-F00962,2,1,LM1DF1,F00962,30
LM3AH1-LM3AHC-WC,5,1,LM3AH1,LM3AHC,60
LM3CN1-LM3CNJ,2,1,LM3CN1,LM3CNJ,30
LM4FT2-056226-WC,1,1,LM4FT2,056226,90
LM3CN1-LM3CNI,2,1,LM3CN1,LM3CNI,30
LM1DF3-F00962,2,1,LM1DF3,F00962,90
LM3CN1-LM3CNH,2,1,LM3CN1,LM3CNH,60
LM1DF3-F00963,2,1,LM1DF3,F00963,90
LM3CN1-LM3CNG,2,1,LM3CN1,LM3CNG,30
056233-F01336-WC,5,1,056233,F01336,105
LM3CN1-LM3CNF,2,1,LM3CN1,LM3CNF,30
LM3CN1-LM3CNE,2,1,LM3CN1,LM3CNE,30
LM2OV1-F01749-WC,1,1,LM2OV1,F01749,30
LM4KF2-LM4KFA-WC,5,1,LM4KF2,LM4KFA,120
LM4KV2-056228-WC,1,1,LM4KV2,056228,90
LM4KP3-LMXKPN,2,1,LM4KP3,LMXKPN,120
LM4KP3-LMXKPM,2,1,LM4KP3,LMXKPM,120
LM4UK1-056219,2,1,LM4UK1,056219,60
LM4KP3-LMXKPL,2,1,LM4KP3,LMXKPL,120
LM4KP3-LMXKPK,2,1,LM4KP3,LMXKPK,60
056227-F01290,2,1,056227,F01290,120
LM1VTV-F00964,2,1,LM1VTV,F00964,15
L008163-F00898-WC,5,1,L008163,F00898,60
LM2DF1-F00960,2,1,LM2DF1,F00960,30
LM2DF1-F00961,2,1,LM2DF1,F00961,30
LM2PU2-F01743-WC,5,1,LM2PU2,F01743,180
LM1SFM-F02697,2,1,LM1SFM,F02697,30
L056213-056229-WC,5,1,L056213,056229,90
LM2KP1-LMXKPJ,2,1,LM2KP1,LMXKPJ,60
LM2KP1-LMXKPI,2,1,LM2KP1,LMXKPI,60
LM2KL1-F00959,2,1,LM2KL1,F00959,30
