StopName_A,StopName_B,Location_A,Location_B,StopID_A,StopID_B,Route_A,Route_B,RouteColor_A,RouteColor_B
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.497593, 19.053857)",007884,F00961,47,M2,FFD800,E41F18
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.498843, 19.053605)",007884,F00960,47,M2,FFD800,E41F18
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.49772, 19.05367)",007884,F00962,47,M1,FFD800,FFD800
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.497728, 19.054142)",007884,F00963,47,M1,FFD800,FFD800
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.49744, 19.055729)",007884,009309,47,934,FFD800,000000
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.49744, 19.055729)",007884,009309,47,914,FFD800,000000
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.49744, 19.055729)",007884,009309,47,914A,FFD800,000000
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.49744, 19.055729)",007884,009309,47,9,FFD800,009EE3
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.49744, 19.055729)",007884,009309,47,909,FFD800,000000
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.49744, 19.055729)",007884,009309,47,72M,FFD800,E41F18
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.498744, 19.054959)",007884,074959,47,M3,FFD800,009EE3
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.49744, 19.055729)",007884,009309,47,950,FFD800,000000
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.49744, 19.055729)",007884,009309,47,950A,FFD800,000000
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.49744, 19.055729)",007884,009309,47,979A,FFD800,000000
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.49744, 19.055729)",007884,009309,47,979,FFD800,000000
Deák Ferenc tér,Deák Ferenc tér,"(47.497413, 19.055158)","(47.49744, 19.055729)",007884,009309,47,931,FFD800,000000
